nodeA	nodeB	weight	source	evidence	version
ATM	SMARCA4	0.786	STRING_Local	combined_score	v12.0
ATM	CHEK2	0.999	STRING_Local	combined_score	v12.0
ATM	MYC	0.871	STRING_Local	combined_score	v12.0
ATM	CDK4	0.937	STRING_Local	combined_score	v12.0
ATM	NF1	0.732	STRING_Local	combined_score	v12.0
ATM	BRCA2	0.995	STRING_Local	combined_score	v12.0
ATM	TP53	0.999	STRING_Local	combined_score	v12.0
ATM	BRAF	0.778	STRING_Local	combined_score	v12.0
ATM	PTEN	0.897	STRING_Local	combined_score	v12.0
ATM	POLE	0.794	STRING_Local	combined_score	v12.0
ATM	CDKN2A	0.847	STRING_Local	combined_score	v12.0
ATM	MDM2	0.995	STRING_Local	combined_score	v12.0
ATM	TERT	0.825	STRING_Local	combined_score	v12.0
ATM	ERBB2	0.748	STRING_Local	combined_score	v12.0
ATM	STK11	0.89	STRING_Local	combined_score	v12.0
ATM	KRAS	0.718	STRING_Local	combined_score	v12.0
KMT2D	ARID1A	0.813	STRING_Local	combined_score	v12.0
KMT2D	TP53	0.81	STRING_Local	combined_score	v12.0
TERT	MDM2	0.797	STRING_Local	combined_score	v12.0
TERT	CDKN2A	0.817	STRING_Local	combined_score	v12.0
TERT	PTEN	0.822	STRING_Local	combined_score	v12.0
TERT	BRAF	0.815	STRING_Local	combined_score	v12.0
TERT	TP53	0.902	STRING_Local	combined_score	v12.0
TERT	ATM	0.825	STRING_Local	combined_score	v12.0
TERT	MYC	0.92	STRING_Local	combined_score	v12.0
TERT	CDK4	0.756	STRING_Local	combined_score	v12.0
TERT	SMARCA4	0.99	STRING_Local	combined_score	v12.0
TERT	ARID1A	0.781	STRING_Local	combined_score	v12.0
TERT	IDH1	0.781	STRING_Local	combined_score	v12.0
MET	ERBB2	0.847	STRING_Local	combined_score	v12.0
MET	KRAS	0.979	STRING_Local	combined_score	v12.0
MET	NRAS	0.966	STRING_Local	combined_score	v12.0
MET	PTEN	0.755	STRING_Local	combined_score	v12.0
MET	PTPN11	0.927	STRING_Local	combined_score	v12.0
MET	EGFR	0.996	STRING_Local	combined_score	v12.0
MET	TP53	0.804	STRING_Local	combined_score	v12.0
MET	HRAS	0.961	STRING_Local	combined_score	v12.0
MET	PIK3CA	0.961	STRING_Local	combined_score	v12.0
ARID1A	CDK4	0.713	STRING_Local	combined_score	v12.0
ARID1A	BRCA1	0.801	STRING_Local	combined_score	v12.0
ARID1A	PIK3CA	0.913	STRING_Local	combined_score	v12.0
ARID1A	SMARCA4	0.999	STRING_Local	combined_score	v12.0
ARID1A	TP53	0.961	STRING_Local	combined_score	v12.0
ARID1A	CCND1	0.752	STRING_Local	combined_score	v12.0
ARID1A	SMARCB1	0.999	STRING_Local	combined_score	v12.0
ARID1A	PTEN	0.743	STRING_Local	combined_score	v12.0
ARID1A	RB1	0.786	STRING_Local	combined_score	v12.0
ARID1A	BRAF	0.702	STRING_Local	combined_score	v12.0
ARID1A	KMT2D	0.813	STRING_Local	combined_score	v12.0
ARID1A	TERT	0.781	STRING_Local	combined_score	v12.0
ARID1A	KRAS	0.873	STRING_Local	combined_score	v12.0
ARID1A	CDKN2A	0.72	STRING_Local	combined_score	v12.0
POLE	BRCA2	0.849	STRING_Local	combined_score	v12.0
POLE	CHEK2	0.778	STRING_Local	combined_score	v12.0
POLE	ATM	0.794	STRING_Local	combined_score	v12.0
POLE	BRCA1	0.919	STRING_Local	combined_score	v12.0
STK11	BRCA1	0.74	STRING_Local	combined_score	v12.0
STK11	SMARCA4	0.92	STRING_Local	combined_score	v12.0
STK11	PIK3CA	0.844	STRING_Local	combined_score	v12.0
STK11	MYC	0.774	STRING_Local	combined_score	v12.0
STK11	ATM	0.89	STRING_Local	combined_score	v12.0
STK11	ALK	0.718	STRING_Local	combined_score	v12.0
STK11	BRCA2	0.83	STRING_Local	combined_score	v12.0
STK11	NF1	0.728	STRING_Local	combined_score	v12.0
STK11	SMAD4	0.847	STRING_Local	combined_score	v12.0
